delta_R,m_mu_mu
[ 3.39289462],[ 125.66839121]
[ 4.58878101],[ 7.02820979]
[ 3.40923344],[ 119.71089742]
[ 3.87674186],[ 58.4676591]
[ 2.05121531],[ 124.88153499]
[ 4.55732712],[ 2.02584289]
[ 3.72829921],[ 58.60602903]
[ 3.3133574],[ 124.7986974]
[ 3.02747342],[ 123.3973971]
[ 3.59412956],[ 28.45888446]
[ 3.40151937],[ 124.18996794]
[ 4.0377689],[ 38.47089407]
[ 3.38618176],[ 41.29010186]
[ 3.2781985],[ 27.89973234]
[ 3.82130992],[ 124.69618314]
[ 3.67950552],[ 123.87111264]
[ 2.45979055],[ 124.31386374]
[ 3.51709721],[ 67.27744128]
[ 3.56573267],[ 123.84231806]
[ 3.71565229],[ 3.98622393]
[ 4.34443815],[ 28.09239346]
[ 1.63797214],[ 122.68874096]
[ 1.77993413],[ 122.31654558]
[ 3.52085244],[ 123.63021934]
[ 1.96674455],[ 124.44568129]
[ 3.11207497],[ 118.52575665]
[ 3.60076337],[ 34.719164]
[ 0.87719072],[ 124.08994353]
[ 3.94208481],[ 125.71817041]
[ 3.2984502],[ 122.0722392]
[ 2.62267151],[ 125.68209184]
[ 3.77382262],[ 121.71119463]
[ 3.03168132],[ 121.04386208]
[ 4.89747426],[ 123.03227855]
[ 3.21730012],[ 3.63570071]
[ 3.46493196],[ 123.63066105]
[ 3.33657221],[ 22.58522179]
[ 3.47651916],[ 2.41331799]
[ 3.65801677],[ 28.1948833]
[ 3.22368053],[ 124.03169327]
[ 3.78105763],[ 126.88103266]
[ 3.03826854],[ 124.83531961]
[ 2.4086015],[ 122.2745374]
[ 4.19058657],[ 125.12171714]
[ 3.28430384],[ 123.10209938]
[ 2.52942127],[ 121.12356063]
[ 3.6925281],[ 122.42580951]
[ 2.89258089],[ 19.41622022]
[ 3.46635725],[ 125.69038332]
[ 3.45797842],[ 14.01227133]
[ 3.28542773],[ 4.15944739]
[ 2.8884313],[ 17.9755418]
[ 2.710261],[ 123.62185486]
[ 3.17192885],[ 127.49308993]
[ 3.6126436],[ 2.64253575]
[ 2.63931765],[ 25.68455672]
[ 3.00156818],[ 124.90235832]
